QID,Question,Difficulty Level,Gold Standard Set,Retrieval Mode,Rank,Retrieved Doc,Relevance,Notes
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",BM25,2,pdf_148,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",BM25,3,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",BM25,4,pdf_133,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",BM25,5,pdf_32,1,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",vector,1,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",vector,2,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",vector,3,pdf_116,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",vector,4,pdf_15,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",vector,5,pdf_68,1,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,1,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,2,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,3,pdf_148,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,4,pdf_116,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion,5,pdf_12,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,1,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,2,pdf_148,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,3,pdf_116,0,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,4,pdf_6,2,
3,How to set up results preferences in JASP?,easy,"pdf_6,video_1",bm_vector_fusion_rerank,5,pdf_15,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",BM25,1,pdf_34,2,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",BM25,2,pdf_148,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",BM25,3,pdf_148,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",BM25,4,pdf_28,1,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",BM25,5,pdf_20,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",vector,1,pdf_34,2,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",vector,2,pdf_42,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",vector,3,pdf_15,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",vector,4,pdf_116,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",vector,5,pdf_6,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion,1,pdf_34,2,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion,2,pdf_28,1,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion,3,pdf_83,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion,4,pdf_42,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion,5,pdf_148,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion_rerank,1,pdf_34,2,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion_rerank,2,pdf_28,1,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion_rerank,3,pdf_15,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion_rerank,4,pdf_42,0,
4,How can I check for outliers in my dataset using JASP?,easy,"pdf_34,",bm_vector_fusion_rerank,5,pdf_6,0,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",BM25,1,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",BM25,2,pdf_183,1,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",BM25,3,pdf_52,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",BM25,4,pdf_36,0,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",BM25,5,pdf_36,0,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",vector,1,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",vector,2,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",vector,3,pdf_52,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",vector,4,pdf_51,0,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",vector,5,pdf_183,1,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion,1,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion,2,pdf_52,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion,3,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion,4,pdf_55,0,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion,5,pdf_183,1,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion_rerank,1,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion_rerank,2,pdf_52,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion_rerank,3,pdf_67,1,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion_rerank,4,pdf_48,2,
5,What are the assumptions of a one-sample t-test?,easy,"pdf_48,pdf_52",bm_vector_fusion_rerank,5,pdf_183,1,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",BM25,1,pdf_58,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",BM25,2,pdf_40,0,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",BM25,3,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",BM25,4,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",BM25,5,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",vector,1,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",vector,2,pdf_58,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",vector,3,pdf_16,1,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",vector,4,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",vector,5,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion,1,pdf_58,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion,2,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion,3,pdf_40,0,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion,4,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion,5,pdf_57,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion_rerank,1,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion_rerank,2,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion_rerank,3,pdf_58,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion_rerank,4,pdf_55,2,
6,How do I perform a multinomial test in JASP ?,easy,"pdf_55,pdf_56,pdf_57,pdf_58",bm_vector_fusion_rerank,5,pdf_57,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",BM25,1,pdf_149,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",BM25,2,pdf_153,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",BM25,3,pdf_87,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",BM25,4,pdf_46,1,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",BM25,5,pdf_179,1,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",vector,1,pdf_57,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",vector,2,pdf_144,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",vector,3,pdf_149,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",vector,4,pdf_97,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",vector,5,md_jaspRegression__Correlation,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion,1,pdf_149,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion,2,pdf_57,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion,3,pdf_144,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion,4,pdf_148,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion,5,pdf_97,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion_rerank,1,pdf_97,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion_rerank,2,pdf_57,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion_rerank,3,pdf_149,2,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion_rerank,4,pdf_144,0,
7,How to interpret the chi-square output?,easy,"pdf_57,pdf_149,pdf_153",bm_vector_fusion_rerank,5,pdf_153,2,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",BM25,1,pdf_148,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",BM25,2,pdf_157,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",BM25,3,pdf_40,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",BM25,4,pdf_133,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",BM25,5,pdf_148,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",vector,1,pdf_40,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",vector,2,pdf_61,2,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",vector,3,pdf_67,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",vector,4,pdf_16,1,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",vector,5,pdf_60,2,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion,1,pdf_40,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion,2,pdf_104,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion,3,pdf_113,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion,4,pdf_148,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion,5,pdf_157,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion_rerank,1,pdf_61,2,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion_rerank,2,pdf_40,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion_rerank,3,pdf_60,1,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion_rerank,4,pdf_67,0,
8,How do I set up an independent samples t-test in JASP?,easy,"pdf_60,pdf_61",bm_vector_fusion_rerank,5,pdf_16,1,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,BM25,1,pdf_65,2,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,BM25,2,pdf_104,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,BM25,3,pdf_60,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,BM25,4,pdf_62,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,BM25,5,pdf_179,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,vector,1,pdf_65,2,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,vector,2,pdf_113,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,vector,3,pdf_16,1,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,vector,4,pdf_61,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,vector,5,pdf_148,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion,1,pdf_65,2,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion,2,pdf_113,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion,3,pdf_65,2,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion,4,pdf_71,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion,5,pdf_58,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion_rerank,1,pdf_65,2,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion_rerank,2,pdf_65,2,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion_rerank,3,pdf_104,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion_rerank,4,pdf_62,0,
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,pdf_65,bm_vector_fusion_rerank,5,pdf_71,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",BM25,1,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",BM25,2,pdf_107,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",BM25,3,pdf_104,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",BM25,4,pdf_71,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",BM25,5,pdf_71,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",vector,1,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",vector,2,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",vector,3,pdf_61,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",vector,4,pdf_40,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",vector,5,pdf_51,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion,1,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion,2,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion,3,pdf_40,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion,4,pdf_61,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion,5,video_2,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion_rerank,1,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion_rerank,2,pdf_61,0,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion_rerank,3,pdf_71,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion_rerank,4,pdf_67,2,
10,How do I run a paired-samples t-test in JASP?,easy,"pdf_67,pdf_71",bm_vector_fusion_rerank,5,pdf_40,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",BM25,1,pdf_71,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",BM25,2,pdf_71,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",BM25,3,pdf_49,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",BM25,4,pdf_104,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",BM25,5,pdf_72,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",vector,1,pdf_113,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",vector,2,pdf_61,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",vector,3,pdf_68,1,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",vector,4,pdf_71,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",vector,5,pdf_67,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion,1,pdf_71,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion,2,pdf_104,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion,3,pdf_68,1,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion,4,pdf_40,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion,5,pdf_113,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion_rerank,1,pdf_71,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion_rerank,2,pdf_71,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion_rerank,3,pdf_49,0,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion_rerank,4,pdf_72,2,
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,"pdf_71,pdf_72",bm_vector_fusion_rerank,5,pdf_104,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,BM25,1,pdf_179,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,BM25,2,pdf_78,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,BM25,3,pdf_118,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,BM25,4,pdf_73,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,BM25,5,video_2,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,vector,1,pdf_163,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,vector,2,pdf_6,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,vector,3,pdf_6,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,vector,4,pdf_16,1,
12,How do I run a regression analysis in JASP?,easy,pdf_79,vector,5,pdf_42,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion,1,pdf_163,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion,2,pdf_117,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion,3,video_2,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion,4,pdf_148,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion,5,pdf_179,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion_rerank,1,pdf_6,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion_rerank,2,pdf_78,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion_rerank,3,pdf_163,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion_rerank,4,pdf_117,0,
12,How do I run a regression analysis in JASP?,easy,pdf_79,bm_vector_fusion_rerank,5,pdf_148,0,
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",BM25,1,pdf_78,0,
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",BM25,2,md_jaspRegression__RegressionLogistic,2,
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",BM25,3,md_jaspRegression__GeneralizedLinearModel,2,
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",BM25,4,pdf_92,2,
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",BM25,5,pdf_85,2,
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",vector,1,pdf_92,2,
