QID,Question,Difficulty Level,Retrieval Mode,Gold Standard Set,k,success@k,mrr@k,ndcg@k,precision@k_rel>=1,precision@k_goldref,recall@k_goldref,gold_size,hits_in_gold_topk
5,What are the assumptions of a one-sample t-test?,easy,bm_vector_fusion_rerank,"pdf_48,pdf_52",5,1,1.0,0.9807710461847231,1.0,0.4,1.0,2,2
5,What are the assumptions of a one-sample t-test?,easy,vector,"pdf_48,pdf_52",5,1,1.0,0.9935774939007994,0.8,0.4,1.0,2,2
6,How do I perform a multinomial test in JASP ?,easy,BM25,"pdf_55,pdf_56,pdf_57,pdf_58",5,1,1.0,0.9047172294870752,0.8,0.4,0.5,4,2
6,How do I perform a multinomial test in JASP ?,easy,bm_vector_fusion,"pdf_55,pdf_56,pdf_57,pdf_58",5,1,1.0,0.9558295932317544,0.8,0.6,0.75,4,3
6,How do I perform a multinomial test in JASP ?,easy,bm_vector_fusion_rerank,"pdf_55,pdf_56,pdf_57,pdf_58",5,1,1.0,1.0,1.0,0.6,0.75,4,3
6,How do I perform a multinomial test in JASP ?,easy,vector,"pdf_55,pdf_56,pdf_57,pdf_58",5,1,1.0,0.9719643720954755,1.0,0.4,0.5,4,2
7,How to interpret the chi-square output?,easy,BM25,"pdf_57,pdf_149,pdf_153",5,1,1.0,0.9805704719000117,0.8,0.4,0.6666666666666666,3,2
7,How to interpret the chi-square output?,easy,bm_vector_fusion,"pdf_57,pdf_149,pdf_153",5,1,1.0,1.0,0.4,0.4,0.6666666666666666,3,2
7,How to interpret the chi-square output?,easy,bm_vector_fusion_rerank,"pdf_57,pdf_149,pdf_153",5,1,0.5,0.7122630665145961,0.6,0.6,1.0,3,3
7,How to interpret the chi-square output?,easy,vector,"pdf_57,pdf_149,pdf_153",5,1,1.0,0.9197207891481876,0.4,0.4,0.6666666666666666,3,2
8,How do I set up an independent samples t-test in JASP?,easy,BM25,"pdf_60,pdf_61",5,0,0.0,0.0,0.0,0.0,0.0,2,0
8,How do I set up an independent samples t-test in JASP?,easy,bm_vector_fusion,"pdf_60,pdf_61",5,0,0.0,0.0,0.0,0.0,0.0,2,0
8,How do I set up an independent samples t-test in JASP?,easy,bm_vector_fusion_rerank,"pdf_60,pdf_61",5,1,1.0,0.940914767159646,0.6,0.4,1.0,2,2
8,How do I set up an independent samples t-test in JASP?,easy,vector,"pdf_60,pdf_61",5,1,0.5,0.6460523621555107,0.6,0.4,1.0,2,2
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,BM25,pdf_65,5,1,1.0,1.0,0.2,0.2,1.0,1,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,bm_vector_fusion,pdf_65,5,1,1.0,0.9197207891481876,0.4,0.2,1.0,1,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,bm_vector_fusion_rerank,pdf_65,5,1,1.0,1.0,0.4,0.2,1.0,1,1
9,How do I run a Mann–Whitney U test for non-normal data in JASP?,easy,vector,pdf_65,5,1,1.0,0.9639404333166532,0.4,0.2,1.0,1,1
10,How do I run a paired-samples t-test in JASP?,easy,BM25,"pdf_67,pdf_71",5,1,1.0,0.8529278650606569,0.6,0.4,1.0,2,2
10,How do I run a paired-samples t-test in JASP?,easy,bm_vector_fusion,"pdf_67,pdf_71",5,1,1.0,1.0,0.4,0.2,0.5,2,1
10,How do I run a paired-samples t-test in JASP?,easy,bm_vector_fusion_rerank,"pdf_67,pdf_71",5,1,1.0,0.9060254355346824,0.6,0.4,1.0,2,2
10,How do I run a paired-samples t-test in JASP?,easy,vector,"pdf_67,pdf_71",5,1,1.0,1.0,0.4,0.2,0.5,2,1
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,BM25,"pdf_71,pdf_72",5,1,1.0,0.9469024295259745,0.6,0.4,1.0,2,2
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,bm_vector_fusion,"pdf_71,pdf_72",5,1,1.0,0.9639404333166532,0.4,0.2,0.5,2,1
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,bm_vector_fusion_rerank,"pdf_71,pdf_72",5,1,1.0,0.9674679834891694,0.6,0.4,1.0,2,2
11,How do I perform a Wilcoxon signed-rank test for related samples in JASP,easy,vector,"pdf_71,pdf_72",5,1,0.3333333333333333,0.4935456744811716,0.4,0.2,0.5,2,1
12,How do I run a regression analysis in JASP?,easy,BM25,pdf_79,5,0,0.0,0.0,0.0,0.0,0.0,1,0
12,How do I run a regression analysis in JASP?,easy,bm_vector_fusion,pdf_79,5,0,0.0,0.0,0.0,0.0,0.0,1,0
12,How do I run a regression analysis in JASP?,easy,bm_vector_fusion_rerank,pdf_79,5,0,0.0,0.0,0.0,0.0,0.0,1,0
12,How do I run a regression analysis in JASP?,easy,vector,pdf_79,5,1,0.25,0.43067655807339306,0.2,0.0,0.0,1,0
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,BM25,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",5,1,0.5,0.7606395682357036,0.8,0.8,1.0,4,4
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,bm_vector_fusion,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",5,1,1.0,1.0,0.2,0.2,0.25,4,1
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,bm_vector_fusion_rerank,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",5,1,1.0,1.0,0.8,0.8,1.0,4,4
13,How do I specify predictors and outcome variables in JASP’s regression module?,easy,vector,"pdf_85,pdf_92, md_jaspRegression__RegressionLogistic,md_jaspRegression__GeneralizedLinearModel",5,1,1.0,1.0,0.2,0.2,0.25,4,1
14,What output does JASP provide for correlation analysis?,easy,BM25,"pdf_73,pdf_74,pdf_75,pdf_76.pdf_77",5,0,0.0,0.0,0.0,0.0,0.0,4,0
14,What output does JASP provide for correlation analysis?,easy,bm_vector_fusion,"pdf_73,pdf_74,pdf_75,pdf_76.pdf_77",5,0,0.0,0.0,0.0,0.0,0.0,4,0
14,What output does JASP provide for correlation analysis?,easy,bm_vector_fusion_rerank,"pdf_73,pdf_74,pdf_75,pdf_76.pdf_77",5,0,0.0,0.0,0.0,0.0,0.0,4,0
14,What output does JASP provide for correlation analysis?,easy,vector,"pdf_73,pdf_74,pdf_75,pdf_76.pdf_77",5,0,0.0,0.0,0.0,0.0,0.0,4,0
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,BM25,"pdf_97,pdf_104",5,1,0.5,0.6460523621555107,0.6,0.4,1.0,2,2
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,bm_vector_fusion,"pdf_97,pdf_104",5,1,1.0,1.0,0.4,0.4,1.0,2,2
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,bm_vector_fusion_rerank,"pdf_97,pdf_104",5,1,1.0,1.0,0.4,0.4,1.0,2,2
15,How do I run a one-way ANOVA for more than two groups in JASP?,easy,vector,"pdf_97,pdf_104",5,1,0.3333333333333333,0.531730627995306,0.4,0.2,0.5,2,1
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,BM25,"video_2,pdf_98,pdf_111,pdf_128,pdf_130,pdf_138,pdf_146",5,1,1.0,0.8480742992651265,1.0,0.8,0.5714285714285714,7,4
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,bm_vector_fusion,"video_2,pdf_98,pdf_111,pdf_128,pdf_130,pdf_138,pdf_146",5,1,1.0,1.0,1.0,0.8,0.5714285714285714,7,4
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,bm_vector_fusion_rerank,"video_2,pdf_98,pdf_111,pdf_128,pdf_130,pdf_138,pdf_146",5,1,1.0,0.9719643720954755,1.0,0.8,0.5714285714285714,7,4
16,How to choose appropriate post-hoc tests for ANOVA  in JASP?,easy,vector,"video_2,pdf_98,pdf_111,pdf_128,pdf_130,pdf_138,pdf_146",5,1,1.0,0.989141344633751,1.0,0.8,0.5714285714285714,7,4
17,How do I check assumptions before running ANOVA in JASP?,easy,BM25,"pdf_97,pdf_100,pdf_104,pdf_108,pdf_113,pdf_135,pdf_145,video_2",5,1,0.5,0.7606395682357036,0.8,0.6,0.375,8,3
17,How do I check assumptions before running ANOVA in JASP?,easy,bm_vector_fusion,"pdf_97,pdf_100,pdf_104,pdf_108,pdf_113,pdf_135,pdf_145,video_2",5,1,1.0,1.0,1.0,1.0,0.625,8,5
17,How do I check assumptions before running ANOVA in JASP?,easy,bm_vector_fusion_rerank,"pdf_97,pdf_100,pdf_104,pdf_108,pdf_113,pdf_135,pdf_145,video_2",5,1,1.0,1.0,1.0,1.0,0.625,8,5
17,How do I check assumptions before running ANOVA in JASP?,easy,vector,"pdf_97,pdf_100,pdf_104,pdf_108,pdf_113,pdf_135,pdf_145,video_2",5,1,1.0,1.0,1.0,1.0,0.625,8,5
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,BM25,"pdf_104,pdf_105,pdf_113",5,1,1.0,1.0,0.6,0.4,0.6666666666666666,3,2
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,bm_vector_fusion,"pdf_104,pdf_105,pdf_113",5,1,1.0,0.9578347709816888,1.0,0.4,0.6666666666666666,3,2
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,bm_vector_fusion_rerank,"pdf_104,pdf_105,pdf_113",5,1,1.0,1.0,1.0,0.6,1.0,3,3
18,How do I perform a Kruskal–Wallis test for non-normal multi-group data in JASP?,easy,vector,"pdf_104,pdf_105,pdf_113",5,1,1.0,1.0,0.8,0.4,0.6666666666666666,3,2
19,Where is the nonparametric ANOVA option located in the menu?,easy,BM25,"pdf_104,pdf_113",5,1,1.0,0.8772153153380493,0.4,0.4,1.0,2,2
19,Where is the nonparametric ANOVA option located in the menu?,easy,bm_vector_fusion,"pdf_104,pdf_113",5,1,1.0,0.9061827879747687,0.6,0.4,1.0,2,2
19,Where is the nonparametric ANOVA option located in the menu?,easy,bm_vector_fusion_rerank,"pdf_104,pdf_113",5,1,1.0,0.9550337350142764,0.8,0.4,1.0,2,2
19,Where is the nonparametric ANOVA option located in the menu?,easy,vector,"pdf_104,pdf_113",5,1,1.0,0.6885288809404666,0.4,0.2,0.5,2,1
20,How do I run a repeated-measures ANOVA in JASP?,easy,BM25,"video_2,pdf_108,pdf_113",5,1,1.0,1.0,1.0,0.6,1.0,3,3
20,How do I run a repeated-measures ANOVA in JASP?,easy,bm_vector_fusion,"video_2,pdf_108,pdf_113",5,1,1.0,0.9395225786842205,1.0,0.6,1.0,3,3
20,How do I run a repeated-measures ANOVA in JASP?,easy,bm_vector_fusion_rerank,"video_2,pdf_108,pdf_113",5,1,1.0,1.0,1.0,0.6,1.0,3,3
20,How do I run a repeated-measures ANOVA in JASP?,easy,vector,"video_2,pdf_108,pdf_113",5,1,1.0,0.9395225786842205,1.0,0.4,0.6666666666666666,3,2
21,How do I specify within-subject factors and levels in JASP?,easy,BM25,"video_2,pdf_141,pdf_124",5,1,1.0,0.9807710461847231,1.0,0.4,0.6666666666666666,3,2
21,How do I specify within-subject factors and levels in JASP?,easy,bm_vector_fusion,"video_2,pdf_141,pdf_124",5,1,1.0,0.8676182686276376,0.6,0.2,0.3333333333333333,3,1
21,How do I specify within-subject factors and levels in JASP?,easy,bm_vector_fusion_rerank,"video_2,pdf_141,pdf_124",5,1,1.0,1.0,0.6,0.4,0.6666666666666666,3,2
21,How do I specify within-subject factors and levels in JASP?,easy,vector,"video_2,pdf_141,pdf_124",5,1,0.2,0.38685280723454163,0.2,0.2,0.3333333333333333,3,1
22,"What output does JASP give (F-values, sphericity tests, etc.) for RM-ANOVA?",easy,BM25,"video_2,pdf_108,pdf_110,pdf_135",5,1,1.0,1.0,1.0,0.8,1.0,4,4
22,"What output does JASP give (F-values, sphericity tests, etc.) for RM-ANOVA?",easy,bm_vector_fusion,"video_2,pdf_108,pdf_110,pdf_135",5,1,1.0,1.0,0.6,0.2,0.25,4,1
22,"What output does JASP give (F-values, sphericity tests, etc.) for RM-ANOVA?",easy,bm_vector_fusion_rerank,"video_2,pdf_108,pdf_110,pdf_135",5,1,1.0,0.9327783893101107,0.4,0.2,0.25,4,1
22,"What output does JASP give (F-values, sphericity tests, etc.) for RM-ANOVA?",easy,vector,"video_2,pdf_108,pdf_110,pdf_135",5,1,1.0,0.6484938358340886,0.6,0.2,0.25,4,1
23,How do I conduct a Friedman test for non-parametric repeated-measures data in JASP?,easy,BM25,pdf_113,5,1,1.0,0.8503449055347546,0.4,0.2,1.0,1,1
23,How do I conduct a Friedman test for non-parametric repeated-measures data in JASP?,easy,bm_vector_fusion,pdf_113,5,1,1.0,1.0,0.4,0.2,1.0,1,1
23,How do I conduct a Friedman test for non-parametric repeated-measures data in JASP?,easy,bm_vector_fusion_rerank,pdf_113,5,1,1.0,1.0,0.6,0.2,1.0,1,1
23,How do I conduct a Friedman test for non-parametric repeated-measures data in JASP?,easy,vector,pdf_113,5,1,1.0,1.0,0.4,0.2,1.0,1,1
24,How to run factorial ANOVA in JASP?,easy,BM25,pdf_142,5,1,0.3333333333333333,0.5,0.2,0.0,0.0,1,0
24,How to run factorial ANOVA in JASP?,easy,bm_vector_fusion,pdf_142,5,1,0.3333333333333333,0.5,0.2,0.2,1.0,1,1
24,How to run factorial ANOVA in JASP?,easy,bm_vector_fusion_rerank,pdf_142,5,1,1.0,1.0,0.2,0.2,1.0,1,1
24,How to run factorial ANOVA in JASP?,easy,vector,pdf_142,5,0,0.0,0.0,0.0,0.0,0.0,1,0
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,BM25,"ppdf_108,pdf_124,pdf_126,pdf_134,pdf_141,pdf_144",5,1,1.0,1.0,0.8,0.8,0.6666666666666666,6,4
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,bm_vector_fusion,"ppdf_108,pdf_124,pdf_126,pdf_134,pdf_141,pdf_144",5,1,1.0,1.0,1.0,0.8,0.6666666666666666,6,4
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,bm_vector_fusion_rerank,"ppdf_108,pdf_124,pdf_126,pdf_134,pdf_141,pdf_144",5,1,1.0,1.0,1.0,1.0,0.8333333333333334,6,5
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,vector,"ppdf_108,pdf_124,pdf_126,pdf_134,pdf_141,pdf_144",5,1,1.0,1.0,0.6,0.2,0.16666666666666666,6,1
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,BM25,"pdf_132,pdf_133",5,1,0.5,0.58688267143572,0.4,0.2,0.5,2,1
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,bm_vector_fusion,"pdf_132,pdf_133",5,1,0.3333333333333333,0.5437713091520254,0.4,0.4,1.0,2,2
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,bm_vector_fusion_rerank,"pdf_132,pdf_133",5,1,1.0,1.0,0.4,0.4,1.0,2,2
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,vector,"pdf_132,pdf_133",5,1,1.0,0.6885288809404666,0.4,0.2,0.5,2,1
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,BM25,"pdf_141,pdf_142",5,1,1.0,0.9674679834891694,0.6,0.4,1.0,2,2
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,bm_vector_fusion,"pdf_141,pdf_142",5,1,1.0,1.0,0.6,0.4,1.0,2,2
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,bm_vector_fusion_rerank,"pdf_141,pdf_142",5,1,1.0,1.0,0.6,0.4,1.0,2,2
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,vector,"pdf_141,pdf_142",5,1,0.5,0.6934264036172708,0.4,0.4,1.0,2,2
28,How to interpret interaction effects in mixed ANOVA?,easy,BM25,"pdf_141,pdf_142",5,1,1.0,0.9469024295259745,0.6,0.4,1.0,2,2
28,How to interpret interaction effects in mixed ANOVA?,easy,bm_vector_fusion,"pdf_141,pdf_142",5,1,1.0,1.0,0.4,0.2,0.5,2,1
28,How to interpret interaction effects in mixed ANOVA?,easy,bm_vector_fusion_rerank,"pdf_141,pdf_142",5,1,1.0,1.0,0.4,0.2,0.5,2,1
28,How to interpret interaction effects in mixed ANOVA?,easy,vector,"pdf_141,pdf_142",5,1,1.0,1.0,0.4,0.2,0.5,2,1
29,How to interpret ANCOVA outputs?,easy,BM25,"pdf_118,pdf_120",5,1,1.0,0.9061827879747687,0.6,0.2,0.5,2,1
29,How to interpret ANCOVA outputs?,easy,bm_vector_fusion,"pdf_118,pdf_120",5,1,1.0,0.9355095261428396,1.0,0.4,1.0,2,2
29,How to interpret ANCOVA outputs?,easy,bm_vector_fusion_rerank,"pdf_118,pdf_120",5,1,0.5,0.6991835908151116,0.8,0.4,1.0,2,2
29,How to interpret ANCOVA outputs?,easy,vector,"pdf_118,pdf_120",5,1,1.0,0.9578347709816888,1.0,0.4,1.0,2,2
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,BM25,pdf_149,5,1,1.0,1.0,0.2,0.2,1.0,1,1
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,bm_vector_fusion,pdf_149,5,1,1.0,1.0,0.2,0.2,1.0,1,1
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,bm_vector_fusion_rerank,pdf_149,5,1,1.0,1.0,0.2,0.2,1.0,1,1
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,vector,pdf_149,5,1,1.0,1.0,0.2,0.2,1.0,1,1
31,How are the expected frequencies calculated in chi-square test ？,easy,BM25,pdf_149,5,1,1.0,1.0,0.4,0.2,1.0,1,1
31,How are the expected frequencies calculated in chi-square test ？,easy,bm_vector_fusion,pdf_149,5,1,1.0,1.0,0.4,0.2,1.0,1,1
31,How are the expected frequencies calculated in chi-square test ？,easy,bm_vector_fusion_rerank,pdf_149,5,1,1.0,0.9469024295259745,0.6,0.2,1.0,1,1
31,How are the expected frequencies calculated in chi-square test ？,easy,vector,pdf_149,5,1,1.0,1.0,0.4,0.2,1.0,1,1
32,How do I run a classical meta-analysis using JASP?,easy,BM25,"pdf_157,pdf_162,pdf_163",5,1,1.0,1.0,1.0,0.6,1.0,3,3
32,How do I run a classical meta-analysis using JASP?,easy,bm_vector_fusion,"pdf_157,pdf_162,pdf_163",5,1,1.0,0.989141344633751,1.0,0.6,1.0,3,3
32,How do I run a classical meta-analysis using JASP?,easy,bm_vector_fusion_rerank,"pdf_157,pdf_162,pdf_163",5,1,1.0,1.0,1.0,0.6,1.0,3,3
32,How do I run a classical meta-analysis using JASP?,easy,vector,"pdf_157,pdf_162,pdf_163",5,1,1.0,1.0,0.8,0.4,0.6666666666666666,3,2
33,How do I perform logistic regression in JASP for binary outcome variables?,easy,BM25,"pdf_92,pdf_93,md_jaspRegression__RegressionLogistic",5,1,1.0,0.9220370325520013,0.8,0.4,0.6666666666666666,3,2
33,How do I perform logistic regression in JASP for binary outcome variables?,easy,bm_vector_fusion,"pdf_92,pdf_93,md_jaspRegression__RegressionLogistic",5,1,1.0,1.0,0.8,0.4,0.6666666666666666,3,2
33,How do I perform logistic regression in JASP for binary outcome variables?,easy,bm_vector_fusion_rerank,"pdf_92,pdf_93,md_jaspRegression__RegressionLogistic",5,1,1.0,0.9395225786842205,1.0,0.4,0.6666666666666666,3,2
33,How do I perform logistic regression in JASP for binary outcome variables?,easy,vector,"pdf_92,pdf_93,md_jaspRegression__RegressionLogistic",5,1,1.0,1.0,0.4,0.2,0.3333333333333333,3,1
34,How to run a Linear Mixed Model in Jasp?,easy,BM25,"md_jaspMixedModels__MixedModelsLMM,md_jaspMixedModels__MixedModelsBLMM",5,1,1.0,0.7595063773744855,0.8,0.4,1.0,2,2
34,How to run a Linear Mixed Model in Jasp?,easy,bm_vector_fusion,"md_jaspMixedModels__MixedModelsBGLMM,md_jaspMixedModels__MixedModelsLMM",5,1,0.25,0.4306765580733931,0.2,0.2,0.5,2,1
34,How to run a Linear Mixed Model in Jasp?,easy,bm_vector_fusion_rerank,"md_jaspMixedModels__MixedModelsBGLMM,md_jaspMixedModels__MixedModelsLMM",5,1,1.0,0.9117958961647155,0.8,0.4,1.0,2,2
34,How to run a Linear Mixed Model in Jasp?,easy,vector,"md_jaspMixedModels__MixedModelsBGLMM,md_jaspMixedModels__MixedModelsLMM",5,0,0.0,0.0,0.0,0.0,0.0,2,0
35,"Before fitting a Bayesian linear regression in JASP, what assumptions should be met?",easy,BM25,md_jaspRegression__RegressionLinearBayesian,5,1,0.3333333333333333,0.5,0.2,0.2,1.0,1,1
35,"Before fitting a Bayesian linear regression in JASP, what assumptions should be met?",easy,bm_vector_fusion,md_jaspRegression__RegressionLinearBayesian,5,1,1.0,0.8503449055347546,0.4,0.2,1.0,1,1
35,"Before fitting a Bayesian linear regression in JASP, what assumptions should be met?",easy,bm_vector_fusion_rerank,md_jaspRegression__RegressionLinearBayesian,5,1,0.25,0.5012658353418872,0.4,0.2,1.0,1,1
35,"Before fitting a Bayesian linear regression in JASP, what assumptions should be met?",easy,vector,md_jaspRegression__RegressionLinearBayesian,5,1,0.5,0.6240505200038378,0.4,0.2,1.0,1,1
36,how to interpret the Bayes Factors of a Bayesian Correlation analysis?,easy,BM25,md_jaspRegression__CorrelationBayesian,5,1,1.0,1.0,1.0,0.0,0.0,1,0
36,how to interpret the Bayes Factors of a Bayesian Correlation analysis?,easy,bm_vector_fusion,md_jaspRegression__CorrelationBayesian,5,1,1.0,1.0,1.0,0.2,1.0,1,1
36,how to interpret the Bayes Factors of a Bayesian Correlation analysis?,easy,bm_vector_fusion_rerank,md_jaspRegression__CorrelationBayesian,5,1,1.0,1.0,1.0,0.2,1.0,1,1
36,how to interpret the Bayes Factors of a Bayesian Correlation analysis?,easy,vector,md_jaspRegression__CorrelationBayesian,5,1,1.0,1.0,1.0,0.0,0.0,1,0
37,How to specify the random component and systematic component in the generalized linear models?,easy,BM25,md_jaspRegression__GeneralizedLinearModel,5,1,1.0,1.0,0.2,0.2,1.0,1,1
37,How to specify the random component and systematic component in the generalized linear models?,easy,bm_vector_fusion,md_jaspRegression__GeneralizedLinearModel,5,1,1.0,1.0,0.2,0.2,1.0,1,1
37,How to specify the random component and systematic component in the generalized linear models?,easy,bm_vector_fusion_rerank,md_jaspRegression__GeneralizedLinearModel,5,1,1.0,1.0,0.2,0.2,1.0,1,1
37,How to specify the random component and systematic component in the generalized linear models?,easy,vector,md_jaspRegression__GeneralizedLinearModel,5,1,1.0,1.0,0.2,0.2,1.0,1,1
38,Help me find a video to show a repeated measures ANOVA step by step in Jasp.,easy,BM25,video_2,5,1,1.0,0.8772153153380493,0.4,0.2,1.0,1,1
38,Help me find a video to show a repeated measures ANOVA step by step in Jasp.,easy,bm_vector_fusion,video_2,5,1,0.5,0.6509209298071326,0.4,0.0,0.0,1,0
38,Help me find a video to show a repeated measures ANOVA step by step in Jasp.,easy,bm_vector_fusion_rerank,video_2,5,1,1.0,0.9726097514324383,0.6,0.2,1.0,1,1
38,Help me find a video to show a repeated measures ANOVA step by step in Jasp.,easy,vector,video_2,5,1,1.0,0.924133208028394,0.6,0.2,1.0,1,1
39,Show me a JASP introduction video.,easy,BM25,video_1,5,1,1.0,1.0,0.8,0.2,1.0,1,1
39,Show me a JASP introduction video.,easy,bm_vector_fusion,video_1,5,1,0.5,0.6460523621555107,0.6,0.2,1.0,1,1
39,Show me a JASP introduction video.,easy,bm_vector_fusion_rerank,video_1,5,1,1.0,1.0,0.8,0.2,1.0,1,1
39,Show me a JASP introduction video.,easy,vector,video_1,5,1,1.0,0.8331277807946136,0.8,0.2,1.0,1,1
40,How to use a Generalized Linear Mixed Model (GLMM)?,easy,BM25,"md_jaspMixedModels__MixedModelsGLMM,md_jaspMixedModels__MixedModelsBGLMM",5,1,1.0,1.0,0.4,0.4,1.0,2,2
40,How to use a Generalized Linear Mixed Model (GLMM)?,easy,bm_vector_fusion,"md_jaspMixedModels__MixedModelsGLMM,md_jaspMixedModels__MixedModelsBGLMM",5,1,1.0,1.0,0.4,0.4,1.0,2,2
40,How to use a Generalized Linear Mixed Model (GLMM)?,easy,bm_vector_fusion_rerank,"md_jaspMixedModels__MixedModelsGLMM,md_jaspMixedModels__MixedModelsBGLMM",5,1,1.0,1.0,0.4,0.4,1.0,2,2
40,How to use a Generalized Linear Mixed Model (GLMM)?,easy,vector,"md_jaspMixedModels__MixedModelsGLMM,md_jaspMixedModels__MixedModelsBGLMM",5,1,1.0,0.9197207891481876,0.4,0.4,1.0,2,2
