QID,Question,Difficulty Level,Retrieval Mode,Success@k,Precision@k,Recall@k,nDCG@k
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,bm_vector_fusion,1,1.0,0.8,1.0
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,bm_vector_fusion_rerank,1,1.0,1.0,1.0
25,How do I interpret main effects and interactions in the JASP ANOVA output?,easy,vector,1,0.6,0.2,1.0
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,BM25,1,0.4,0.5,0.58688267143572
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,bm_vector_fusion,1,0.4,1.0,0.5437713091520254
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,bm_vector_fusion_rerank,1,0.4,1.0,1.0
26,How do I run a two-factor repeated-measures ANOVA (two within-subject variables) in JASP?,easy,vector,1,0.4,0.5,0.6885288809404666
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,BM25,1,0.6,1.0,0.9674679834891694
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,bm_vector_fusion,1,0.6,1.0,1.0
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,bm_vector_fusion_rerank,1,0.6,1.0,1.0
27,How do I set up a mixed (within- and between-subjects) ANOVA in JASP?,easy,vector,1,0.4,1.0,0.6934264036172708
28,How to interpret interaction effects in mixed ANOVA?,easy,BM25,1,0.6,1.0,0.9469024295259745
28,How to interpret interaction effects in mixed ANOVA?,easy,bm_vector_fusion,1,0.4,0.5,1.0
28,How to interpret interaction effects in mixed ANOVA?,easy,bm_vector_fusion_rerank,1,0.4,0.5,1.0
28,How to interpret interaction effects in mixed ANOVA?,easy,vector,1,0.4,0.5,1.0
29,How to interpret ANCOVA outputs?,easy,BM25,1,0.6,0.5,0.9061827879747687
29,How to interpret ANCOVA outputs?,easy,bm_vector_fusion,1,1.0,1.0,0.9355095261428396
29,How to interpret ANCOVA outputs?,easy,bm_vector_fusion_rerank,1,0.8,1.0,0.6991835908151116
29,How to interpret ANCOVA outputs?,easy,vector,1,1.0,1.0,0.9578347709816888
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,BM25,1,0.2,1.0,1.0
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,bm_vector_fusion,1,0.2,1.0,1.0
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,bm_vector_fusion_rerank,1,0.2,1.0,1.0
30,How do I perform a chi-square test of association for two categorical variables in JASP?,easy,vector,1,0.2,1.0,1.0
